RANK=2,TOL= 7.17899911294070095E-015, INFO= 2
RANK=4,TOL= 7.36354892905231902E-015, INFO= 4
RANK=6,TOL= 7.37419122814279009E-015, INFO= 6
RANK=8,TOL= 7.39611089323613781E-015, INFO= 8
RANK=10,TOL= 7.39619674594832397E-015, INFO= 10
RANK=12,TOL= 7.39737913852947854E-015, INFO= 12
RANK=14,TOL= 7.39744511652256350E-015, INFO= 14
RANK=16,TOL= 7.39745338585541761E-015, INFO= 16
RANK=18,TOL= 7.39746086457376499E-015, INFO= 18
RANK=20,TOL= 7.39746089275134641E-015, INFO= 20
RANK=22,TOL= 7.39746231960047477E-015, INFO= 22
RANK=24,TOL= 7.39746242129453146E-015, INFO= 24
RANK=26,TOL= 7.39746242174495368E-015, INFO= 26
RANK=28,TOL= 7.39746243358782110E-015, INFO= 28
RANK=30,TOL= 7.39746244151174746E-015, INFO= 30
RANK=32,TOL= 7.39746244165517342E-015, INFO= 32
RANK=34,TOL= 7.39746244175800144E-015, INFO= 34
RANK=36,TOL= 7.39746244175998148E-015, INFO= 36
RANK=38,TOL= 7.39746244177164242E-015, INFO= 38
RANK=40,TOL= 7.39746244177249123E-015, INFO= 40
RANK=42,TOL= 7.39746244177318543E-015, INFO= 42
RANK=44,TOL= 7.39746244177343629E-015, INFO= 44
RANK=46,TOL= 7.39746244177345207E-015, INFO= 46
RANK=48,TOL= 7.39746244177346153E-015, INFO= 48
RANK=50,TOL= 7.39746244177346153E-015, INFO= 50
RANK=52,TOL= 7.39746244177346153E-015, INFO= 52
RANK=54,TOL= 7.39746244177346153E-015, INFO= 54
RANK=56,TOL= 7.39746244177346153E-015, INFO= 56
RANK=58,TOL= 7.39746244177346153E-015, INFO= 58
RANK=60,TOL= 7.39746244177346153E-015, INFO= 60
RANK=62,TOL= 7.39746244177346153E-015, INFO= 62
RANK=64,TOL= 7.39746244177346153E-015, INFO= 64
RANK=66,TOL= 7.39746244177346153E-015, INFO= 66
RANK=68,TOL= 7.39746244177346153E-015, INFO= 68
RANK=70,TOL= 7.39746244177346153E-015, INFO= 70
RANK=72,TOL= 7.39746244177346153E-015, INFO= 72
RANK=74,TOL= 7.39746244177346153E-015, INFO= 74
RANK=76,TOL= 7.39746244177346153E-015, INFO= 76
RANK=78,TOL= 7.39746244177346153E-015, INFO= 78
RANK=80,TOL= 7.39746244177346153E-015, INFO= 80
RANK=82,TOL= 7.39746244177346153E-015, INFO= 82
RANK=84,TOL= 7.39746244177346153E-015, INFO= 84
RANK=86,TOL= 7.39746244177346153E-015, INFO= 86
RANK=88,TOL= 7.39746244177346153E-015, INFO= 88
RANK=90,TOL= 7.39746244177346153E-015, INFO= 90
RANK=92,TOL= 7.39746244177346153E-015, INFO= 92
RANK=94,TOL= 7.39746244177346153E-015, INFO= 94
RANK=96,TOL= 7.39746244177346153E-015, INFO= 96
RANK=98,TOL= 7.39746244177346153E-015, INFO= 96
RANK=100,TOL= 7.39746244177346153E-015, INFO= 98
RANK=102,TOL= 7.39746244177346153E-015, INFO= 98
RANK=104,TOL= 7.39746244177346153E-015, INFO= 98
RANK=106,TOL= 7.39746244177346153E-015, INFO= 98
RANK=108,TOL= 7.39746244177346153E-015, INFO= 98
